notes,main,date,Cooperating Partner,Province,Island,Area (Reported),mapper,Location/Village,followup distribution,HH,shelter tool kit,tarpaulin,collapsible jerry can (10L),jerry (20L),hygiene kit,bucket,kitchen set,sleeping mat,blanket,solar lamp,mosquito net,rice (25kg),EC food (for 1 hh 1 day),drinking water (litres),Adm1_Name,Adm1_Code,Adm2_Name,Adm2_Code,Adm3_Name,Adm3_Code,Stle_Name,Stle_Code
Efate - Port Vila,VRCS,3/28/15,IFRC,Shefa,Efate,Port Vila,portvila,Ifira Island,,36,,46,,,,,,,,,,,,,SHEFA,VUT0105,Port Vila,VUT0105071,Port Vila (Port Vila),VUT0105071017,,#N/A
Efate - Port Vila,VRCS,4/2/15,IFRC,Shefa,Efate,Port Vila,portvila,Itakoma,,18,18,18,36,,18,,,,18,,,,,,SHEFA,VUT0105,Port Vila,VUT0105071,Port Vila (Port Vila),VUT0105071017,,
Rural Efate,VRCS,3/26/15,French Red Cross,Shefa,Efate,East Efate,karngo_maybe,Karngo,,10,,,,,10,,10,,,,,,,,,,,,,,,
Rural Efate,VRCS,3/21/15,French Red Cross,Shefa,Efate,East Efate,cressoniere,La cressonière,,6,6,12,,,,,,,,,,,,,,,,,,,,
Rural Efate,VRCS,3/25/15,French Red Cross,Shefa,Efate,East Efate,cressoniere,La cressonière,Y,0,,,,4,,,,6,,,6,,,,,,,,,,,
Rural Efate,VRCS,3/26/15,French Red Cross,Shefa,Efate,East Efate,lamine,La Mine,Y,14,,5,,19,19,,19,36,,,,,,,,,,,,,,
Rural Efate,VRCS,3/25/15,French Red Cross,Shefa,Efate,North Efate,lamine,La Mine,,5,5,10,,12,,,,12,,,23,,,,,,,,,,,
Rural Efate,VRCS,3/25/15,French Red Cross,Shefa,Efate,North Efate,labay,Labay,,12,12,14,,17,,,,24,,,23,,,,,,,,,,,
Rural Efate,VRCS,3/26/15,French Red Cross,Shefa,Efate,North Efate,labay,Labay,Y,0,,9,,9,9,,9,18,,,,,,,,,,,,,,
Rural Efate,VRCS,3/25/15,French Red Cross,Shefa,Efate,West Efate (Malorua),malafau,Malafao,,5,5,10,,,,,,,,,,,,,,,,,,,,
Efate - Port Vila,VRCS,4/2/15,IFRC,Shefa,Efate,Port Vila,portvila,Mangarisu,,22,22,22,48,,22,,,,22,,,,,,SHEFA,VUT0105,Port Vila,VUT0105071,Port Vila (Port Vila),VUT0105071017,,
Efate - Port Vila,VRCS,4/2/15,IFRC,Shefa,Efate,Port Vila,portvila,Matangui,,27,27,24,54,,27,,,,27,,,,,,SHEFA,VUT0105,Port Vila,VUT0105071,Port Vila (Port Vila),VUT0105071017,,
Rural Efate,VRCS,3/29/15,French Red Cross,Shefa,Efate,North Efate,mataresu,Mataresu,,8,,,,,5,,8,16,,,,,,,,,,,,,,
Efate - Port Vila,VRCS,3/19/15,IFRC,Shefa,Efate,Port Vila,portvila,Mormon Church No2 (EC),Y,3,,,,,,,,,,,,,3,,SHEFA,VUT0105,Port Vila,VUT0105071,Port Vila (Port Vila),VUT0105071017,Port Vila,VUT01050710170848
Efate - Port Vila,VRCS,3/19/15,IFRC,Shefa,Efate,Port Vila,portvila,Nangiri Presbyterian Church Hall (EC),,6,,,,,,,,,,,,,6,,SHEFA,VUT0105,Port Vila,VUT0105071,Port Vila (Port Vila),VUT0105071017,Port Vila,VUT01050710170848
Efate - Port Vila,VRCS,3/20/15,IFRC,Shefa,Efate,Port Vila,portvila,Nangiri Presbyterian Church Hall (EC),Y,0,,,,,,,,,,,,,30,,SHEFA,VUT0105,Port Vila,VUT0105071,Port Vila (Port Vila),VUT0105071017,Port Vila,VUT01050710170848
Efate - Port Vila,VRCS,3/21/15,IFRC,Shefa,Efate,Port Vila,portvila,Nangiri Presbyterian Church Hall (EC),Y,1,,,,,,,,,,,,,39,,SHEFA,VUT0105,Port Vila,VUT0105071,Port Vila (Port Vila),VUT0105071017,Port Vila,VUT01050710170848
Efate - Port Vila,VRCS,3/22/15,IFRC,Shefa,Efate,Port Vila,portvila,Nangiri Presbyterian Church Hall (EC),Y,0,,,,,,,,,,,,,39,,SHEFA,VUT0105,Port Vila,VUT0105071,Port Vila (Port Vila),VUT0105071017,Port Vila,VUT01050710170848
Efate - Port Vila,VRCS,4/7/15,IFRC,Shefa,Efate,Port Vila,portvila,No. 3 area,,15,,15,,,,,,,,,,,,,,,,,,,,
Efate - Port Vila,VRCS,3/30/15,IFRC,Shefa,Efate,Port Vila,portvila,Paama,,34,34,34,68,,34,,,,34,,,,,,SHEFA,VUT0105,Port Vila,VUT0105071,Port Vila (Port Vila),VUT0105071017,,#N/A
Rural Efate,VRCS,3/21/15,French Red Cross,Shefa,Efate,East Efate,pangpang,Pang Pang,,44,44,88,,,,,,,,,,,,,,,,,,,,
Rural Efate,VRCS,3/26/15,French Red Cross,Shefa,Efate,North Efate,pangpang,Pang Pang,Y,0,,,,,9,,9,,,,,,,,,,,,,,,
Efate - Port Vila,VRCS,4/7/15,IFRC,Shefa,Efate,Port Vila,portvila,Pango Half Road,,40,40,,80,,,,,,40,,,,,,,,,,,,,
Efate - Port Vila,VRCS,4/8/15,IFRC,Shefa,Efate,Port Vila,portvila,Pango Half Road,Y,0,20,,20,,,,,,20,,,,,,,,,,,,,
Efate - Port Vila,VRCS,4/3/15,IFRC,Shefa,Efate,Port Vila,portvila,Pango Village,Y,0,51,2,102,,51,,,,51,,,,,,,,,,,,,
Efate - Port Vila,VRCS,4/7/15,IFRC,Shefa,Efate,Port Vila,portvila,Pango Village,,25,25,25,50,,,,,,25,,,,,,,,,,,,,
Rural Efate,VRCS,3/24/15,French Red Cross,Shefa,Efate,North Efate,paungangisiu,Paunangisu,,99,99,169,,,,,,,,,,,,,,,,,,,,
Rural Efate,VRCS,3/28/15,French Red Cross,Shefa,Efate,North Efate,paungangisiu,Paunangisu,Y,0,,,,,70,,60,140,,,,,,,,,,,,,,
Rural Efate,VRCS,3/25/15,French Red Cross,Shefa,Efate,North Efate,poi,Poi (Boe),,11,,7,,11,,,,26,,,23,,,,,,,,,,,
Rural Efate,VRCS,3/26/15,French Red Cross,Shefa,Efate,North Efate,poi,Poi (Boe),Y,0,,,,12,12,,12,,,,,,,,,,,,,,,
Efate - Port Vila,VRCS,4/2/15,IFRC,Shefa,Efate,Port Vila,portvila,Poppies,,21,21,21,41,,21,,,,21,,,,,,SHEFA,VUT0105,Port Vila,VUT0105071,Port Vila (Port Vila),VUT0105071017,,
Efate - Port Vila,VRCS,3/25/15,IFRC,Shefa,Efate,Port Vila,portvila,Port Vila,,222,,274,,,,,,,,,,,,,SHEFA,VUT0105,Port Vila,VUT0105071,Port Vila (Port Vila),VUT0105071017,Port Vila,VUT01050710170848
Efate - Port Vila,VRCS,3/26/15,IFRC,Shefa,Efate,Port Vila,portvila,Port Vila,,62,,93,,,,,,,,,,,,,SHEFA,VUT0105,Port Vila,VUT0105071,Port Vila (Port Vila),VUT0105071017,Port Vila,VUT01050710170848
Efate - Port Vila,VRCS,3/27/15,IFRC,Shefa,Efate,Port Vila,portvila,Port Vila,,74,,87,,,,,,,,,,,,,SHEFA,VUT0105,Port Vila,VUT0105071,Port Vila (Port Vila),VUT0105071017,Port Vila,VUT01050710170848
Efate - Port Vila,VRCS,3/30/15,IFRC,Shefa,Efate,Port Vila,portvila,Puninga,,45,45,45,90,,45,,,,45,,,,,,SHEFA,VUT0105,Port Vila,VUT0105071,Port Vila (Port Vila),VUT0105071017,,#N/A
Rural Efate,VRCS,3/24/15,French Red Cross,Shefa,Efate,North Efate,sama,Sama,,8,8,18,,,,,,,,,,,,,,,,,,,,
Rural Efate,VRCS,4/2/15,French Red Cross,Shefa,Efate,North Efate,sama,Sama,Y,0,,,,,6,,6,12,,,,,,,,,,,,,,
Efate - Port Vila,VRCS,4/2/15,IFRC,Shefa,Efate,Port Vila,portvila,Seaside Futuna,,38,37,28,61,,38,,,,28,,,,,,SHEFA,VUT0105,Port Vila,VUT0105071,Port Vila (Port Vila),VUT0105071017,,
Efate - Port Vila,VRCS,4/1/15,IFRC,Shefa,Efate,Port Vila,portvila,Seaside Palmer,,118,118,118,236,,118,,,,118,,,,,,SHEFA,VUT0105,Port Vila,VUT0105071,Port Vila (Port Vila),VUT0105071017,,
Efate - Port Vila,VRCS,4/2/15,IFRC,Shefa,Efate,Port Vila,portvila,Seaside Pentacost,,19,19,19,38,,19,,,,19,,,,,,SHEFA,VUT0105,Port Vila,VUT0105071,Port Vila (Port Vila),VUT0105071017,,
Rural Efate,VRCS,3/24/15,French Red Cross,Shefa,Efate,West Efate (Malorua),siviri,Siviri,,9,9,18,,,,,,,,,,,,,,,,,,,,
Rural Efate,VRCS,3/29/15,French Red Cross,Shefa,Efate,West Efate (Malorua),siviri,Siviri,Y,0,,1,,,,,,,,,,,,,,,,,,,,
Rural Efate,VRCS,4/2/15,French Red Cross,Shefa,Efate,West Efate (Malorua),siviri,Siviri,Y,0,,,,,9,,9,18,,,,,,,,,,,,,,
Rural Efate,VRCS,4/1/15,French Red Cross,Shefa,Efate,North Efate,takara,Takara A,,46,,,,,46,,66,132,,,,,,,,,,,,,,
Rural Efate,VRCS,4/2/15,French Red Cross,Shefa,Efate,North Efate,takara,Takara A,Y,19,65,130,,,20,,,,,,,,,,,,,,,,,
Rural Efate,VRCS,4/1/15,French Red Cross,Shefa,Efate,North Efate,takara,Takara B,,14,,,,,,,14,28,,,,,,,,,,,,,,
Rural Efate,VRCS,4/2/15,French Red Cross,Shefa,Efate,North Efate,takara,Takara B,Y,27,41,46,,,43,,30,60,,,,,,,,,,,,,,
Rural Efate,VRCS,3/25/15,French Red Cross,Shefa,Efate,West Efate (Malorua),tanoliu,Tanaliu,,16,16,32,,,,,,,,,,,,,,,,,,,,
