notes,main,date,Cooperating Partner,Province,Island,Area (Reported),mapper,Location/Village,followup distribution,HH,shelter tool kit,tarpaulin,collapsible jerry can (10L),jerry (20L),hygiene kit,bucket,kitchen set,sleeping mat,blanket,solar lamp,mosquito net,rice (25kg),EC food (for 1 hh 1 day),drinking water (litres),Adm1_Name,Adm1_Code,Adm2_Name,Adm2_Code,Adm3_Name,Adm3_Code,Stle_Name,Stle_Code
,VRCS,3/30/15,IFRC,Malampa,Paama,Paama,paama,Tavulai,,26,26,52,52,,26,,,52,52,26,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Malampa,Paama,Paama,paama,Tevali,,11,11,22,22,,11,,,22,22,11,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Malampa,Paama,Paama,paama,Vaolelinessa,,14,14,28,28,,14,,,28,28,14,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Malampa,Paama,Paama,paama,Vaolelinetan,,35,35,70,70,,35,,,70,70,35,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Malampa,Paama,Paama,paama,Vaum,,6,1,12,12,,,,,12,12,6,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Malampa,Paama,Paama,paama,Voravor,,9,9,18,18,,9,,,18,18,9,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Malampa,Paama,Paama,paama,Vutekai,,11,11,22,22,,11,,,22,22,11,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Malampa,Paama,Paama,paama,Wailep,,23,23,46,46,,23,,,46,46,23,,,,,,,,,,,,
offshore Efate1,VRCS,3/27/15,IFRC,Shefa,Pele,,offshore_pele_launamoa,Launamoa,,22,22,44,44,,22,,,44,,22,,,,,SHEFA,VUT0105,Pele,VUT0105070,Nguna (Pele),VUT0105070029,,
offshore Efate1,VRCS,3/26/15,IFRC,Shefa,Pele,,offshore_pele_piliura,Piliura (and Woraiki),,6,6,12,12,,6,,,12,,6,,,,,SHEFA,VUT0105,Pele,VUT0105070,Nguna (Pele),VUT0105070029,Piliura,VUT01050700290982
offshore Efate1,VRCS,3/26/15,IFRC,Shefa,Pele,,offshore_pele_piliura,"Piliura- school, church, public buildings",Y,0,,10,,,,,,,,,,,,,SHEFA,VUT0105,Pele,VUT0105070,Nguna (Pele),VUT0105070029,Piliura,VUT01050700290982
offshore Efate1,VRCS,3/27/15,IFRC,Shefa,Pele,,offshore_pele_worasifiu,Worasifiu,,5,5,7,10,,5,,,10,,5,,,,,SHEFA,VUT0105,Pele,VUT0105070,Nguna (Pele),VUT0105070029,Worasifiu,VUT01050700290981
offshore Efate1,VRCS,3/26/15,IFRC,Shefa,Pele,,offshore_pele_worearu,Worearu,,2,2,4,4,,2,,,4,,2,,,,,SHEFA,VUT0105,Pele,VUT0105070,Nguna (Pele),VUT0105070029,Worearu,VUT01050700290991
Rural Efate,VRCS,4/1/15,French Red Cross,Tafea,Tanna,North,,Enalpat,,370,23,370,370,,24,,24,218,,,,,,,,,,,,,,
,VRCS,3/27/15,French Red Cross,Tafea,Tanna,North,eniw,Eniw,,56,,56,,,,,,,,,,,,,,,,,,,,
,VRCS,3/27/15,French Red Cross,Tafea,Tanna,North,enwarat,Enwarat,,112,16,112,16,,16,,16,32,,,,,,,,,,,,,,
,VRCS,3/27/15,French Red Cross,Shefa,Efate,East Efate,epao,Epao,Y,0,16,117,16,,16,,16,32,,,,,,,,,,,,,,
,VRCS,3/27/15,French Red Cross,Tafea,Tanna,North,greenhill,Green-hill,,16,,16,,,,,,,,,,,,,,,,,,,,
Rural Efate,VRCS,3/27/15,French Red Cross,Tafea,Tanna,North,imafen,Imafen,,49,,,,49,49,,49,40,,,,,,,,,,,,,,
,VRCS,3/27/15,French Red Cross,Tafea,Tanna,North,imafen,Imafen,Y,0,,48,,,,,,,,,,,,,,,,,,,,
Rural Efate,VRCS,3/27/15,French Red Cross,Tafea,Tanna,North,,Imnakaip,,31,,2,,31,31,,31,62,,,,,,,,,,,,,,
,VRCS,3/27/15,French Red Cross,Tafea,Tanna,North,laketam,Laketam,,34,,34,,,,,,,,,,,,,,,,,,,,
,VRCS,3/27/15,French Red Cross,Tafea,Tanna,North,,Lapsilis,,139,18,139,18,,18,,18,36,,,,,,,,,,,,,,
,VRCS,3/27/15,French Red Cross,Tafea,Tanna,North,laur,Laur,,11,,11,,,,,,,,,,,,,,,,,,,,
,VRCS,3/27/15,French Red Cross,Tafea,Tanna,North,,Lonanruan,,73,10,73,10,,10,,10,20,,,,,,,,,,,,,,
,VRCS,3/27/15,French Red Cross,Tafea,Tanna,North,,Loulapoma,,98,11,98,11,,11,,11,22,,,,,,,,,,,,,,
,VRCS,3/27/15,French Red Cross,Tafea,Tanna,North,lounapina,Lounapina,,21,,21,,,,,,,,,,,,,,,,,,,,
,VRCS,3/27/15,French Red Cross,Tafea,Tanna,North,louwanpakel,Louwanpakel,,18,,18,,,,,,,,,,,,,,,,,,,,
,VRCS,3/27/15,French Red Cross,Tafea,Tanna,North,,Lowakita,,5,,5,,,,,,,,,,,,,,,,,,,,
,VRCS,3/27/15,French Red Cross,Shefa,Efate,East Efate,pangpang,Pang Pang,,127,16,127,16,,16,,16,32,,,,,,,,,,,,,,
Shepherd Islands,VRCS,3/22/15,IFRC,Shefa,Tongariki,,tongariki,,,55,55,110,120,,55,,55,100,100,60,,,,,SHEFA,VUT0105,Tongariki,VUT0105083,Tongariki (Tongariki),VUT0105083038,,#N/A
Shepherd Islands,VRCS,3/23/15,IFRC,Shefa,Tongoa,,tongoa,,,110,111,200,120,,107,,102,120,225,156,,,,,SHEFA,VUT0105,Tongoa,VUT0105026,,#N/A,,#N/A
,other,3/23/15,IFRC via Save the Children,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,
,other,3/24/15,IFRC via Save the Children,,,,,,,,,,,,,960,,,,,,,,,,,,,,,,
,other,3/24/15,IFRC via Save the Children,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,
,other,3/25/15,IFRC via WFP,,,,,,,,,,,,,,,,,,,4141,,,,,,,,,,
,other,3/27/15,IFRC via Save the Children,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,
,other,3/27/15,IFRC via Caritas,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,
,other,3/27/15,IFRC via ADRA,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,
,other,3/30/15,IFRC via World Vision,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,
,other,4/2/15,IFRC via World Vision,,,,,,,,,342,,,,,,,,,,,,,,,,,,,,
,other,4/2/15,IFRC via VUT gov't,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,
,other,4/2/15,IFRC via Caritas,,,,,,,,,450,,,,,,,,,,,,,,,,,,,,
,other,4/2/15,IFRC via ADRA,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,
